x,y,z,scaled x, scaled y, scaled z, distance
1008945.000000,613325.355890,980096.484805,252236.250000,153331.338972,24502.412120,14568.827813
1008221.228608,605746.531910,994867.983593,252055.307152,151436.632978,24871.699590,3175.436194
987122.036387,613966.785956,985770.109160,246780.509097,153491.696489,24644.252729,24092.915426
989982.967834,567524.610186,974533.563793,247495.741958,141881.152546,24363.339095,49300.341326
1003289.853710,588826.518121,956137.182030,250822.463427,147206.629530,23903.429551,43017.882390
992626.409495,582357.454695,974686.565632,248156.602374,145589.363674,24367.164141,36487.166079
1004010.169761,609832.163496,995566.556847,251002.542440,152458.040874,24889.163921,5562.057688
976661.607062,586398.929976,963725.729954,244165.401766,146599.732494,24093.143249,49591.995964
1045557.746735,634120.873367,1023730.943269,261389.436684,158530.218342,25593.273582,53534.989511
995926.866335,604524.228310,981702.355752,248981.716584,151131.057078,24542.558894,18448.103359
988015.424718,609286.703473,977615.373520,247003.856180,152321.675868,24440.384338,26691.285851
977599.571203,582687.642813,997204.642097,244399.892801,145671.910703,24930.116052,40984.036372
1015799.787039,595073.064905,972021.687879,253949.946760,148768.266226,24300.542197,26553.138640
997335.118780,590060.954861,978753.308373,249333.779695,147515.238715,24468.832709,26701.594583
1005672.003395,614061.000000,977809.915860,251418.000849,153515.250000,24445.247897,17325.160822
1006289.572449,594309.398018,985229.122798,251572.393112,148577.349505,24630.728070,16961.351508
1018047.777387,616902.413195,1011905.743770,254511.944347,154225.603299,25297.643594,21737.268362
1022426.296592,608739.016937,1030911.233476,255606.574148,152184.754234,25772.780837,39333.329564
1004470.630653,582956.713630,965402.087449,251117.657663,145739.178407,24135.052186,38616.712714
1006874.152937,604615.037791,994459.192500,251718.538234,151153.759448,24861.479812,4644.664164
1028875.450218,617570.044225,1021960.387142,257218.862554,154392.511056,25549.009679,35456.146047
1008976.975623,607609.287020,997746.362584,252244.243906,151902.321755,24943.659065,3998.835239
1008105.029777,608913.773542,993816.847891,252026.257444,152228.443385,24845.421197,1106.779632
1006776.327711,644373.193076,1002546.379837,251694.081928,161093.298269,25063.659496,36873.963254
1008137.048115,608599.474178,993876.970210,252034.262029,152149.868545,24846.924255,1031.032427
1004159.893482,610490.943653,999353.997941,251039.973370,152622.735913,24983.849949,7653.509888
987019.784331,630952.205577,993987.561935,246754.946083,157738.051394,24849.689048,31458.541163
1039902.926265,627120.986381,1033427.333657,259975.731566,156780.246595,25835.683341,53396.721517
1000214.901823,621422.596885,990454.205876,250053.725456,155355.649221,24761.355147,16000.169528
998523.635903,623800.941468,994444.800935,249630.908976,155950.235367,24861.120023,18556.007923
989520.707240,586919.989387,974404.551184,247380.176810,146729.997347,24360.113780,35154.694478
1004779.768199,598590.459806,991297.482558,251194.942050,149647.614952,24782.437064,11240.873744
970833.494813,618181.912647,983976.762073,242708.373703,154545.478162,24599.419052,40733.176128
1022861.997774,611236.367991,1028252.203493,255715.499444,152809.091998,25706.305087,37092.603782
964891.546380,608353.496157,997536.515217,241222.886595,152088.374039,24938.412880,44427.933475
997465.696483,605370.610134,1006683.808687,249366.424121,151342.652533,25167.095217,17646.190318
1007045.947663,608519.895326,993462.201046,251761.486916,152129.973831,24836.555026,2164.750646
989279.722089,603841.210803,1009692.226829,247319.930522,150960.302701,25242.305671,25852.089763
987905.072793,637608.041658,996153.356987,246976.268198,159402.010415,24903.833925,36028.470093
