x,y,z
-489727.106814,-443265.596873,-536007.796937
766776.636065,700395.636065,882581.198594
796186.865721,729352.503528,855307.997648
684102.819664,629506.857108,741188.852862
-266719.637347,-242382.672717,-294553.383027
808478.724343,671735.171693,829172.585179
139152.385378,160105.459874,155778.483034
790730.877267,739625.330638,876738.402077
713581.910818,671720.961602,800304.888180
614077.715380,564060.538129,685673.980586
749943.703308,753559.221953,816982.796325
163894.094898,149692.293684,176400.609163
467954.425804,424774.727458,513924.138052
751720.078721,700181.325022,885956.088858
437284.569696,407258.113889,447309.051030
593059.180752,569512.927075,682003.958389
443176.563132,437921.740274,483285.554383
-62283.328535,-56191.701205,-68382.068255
385785.930712,346002.277149,412821.818091
751706.722907,704486.691659,867901.739068
-392781.130838,-325423.408094,-405302.650302
132458.807725,116516.448208,135169.334958
399892.408494,364604.531154,441230.113600
860159.045873,795492.458179,855289.026712
808332.000949,708734.863139,843675.493358
352698.976818,319157.254267,386440.892810
803974.469111,677537.744003,830118.383995
814929.699360,753513.256505,872655.186350
796297.266792,736948.271946,870431.580678
758990.228505,691936.916416,813726.933065
772388.342994,729734.154541,865672.383839
739187.223883,735398.890409,838990.739587
775705.755994,743114.687589,873354.666573
794361.895208,766556.708772,879872.127941
667572.397990,642045.402760,743741.115328
764847.034343,736505.919282,869707.566272
664438.051842,593855.490269,714522.899033
599464.567532,552306.394022,652673.183738
-27359.750757,-24921.314538,-30132.339042
697032.070267,650427.564666,759525.894198
824668.122557,722734.914411,870797.617489
339100.165342,311885.536628,380201.348421
591138.193214,552486.556038,674005.663457
796594.326557,720730.208984,857392.381404
788788.116190,725467.021436,883894.260044
416921.672433,380058.689811,453048.324452
262016.374991,236585.602811,290879.121272
767068.312302,727172.453127,849511.261874
-177019.967012,-170058.026109,-180692.836347
-92147.117629,-90580.548425,-104614.564784
888774.630666,879194.924281,867833.924281
791102.975735,727454.976977,858288.662628
781620.540916,712943.293063,880999.730871
910001.337243,891363.827219,866865.676801
760698.800736,759452.460118,872907.000000
763901.973568,724238.100563,843420.890074
655996.468362,658756.769186,720609.095264
786538.056654,755700.430646,881246.543953
-452971.899389,-413992.776184,-512205.924444
226405.208279,218716.928287,258033.194632
775256.398643,713425.958585,876573.456030
489245.686616,458508.296267,468148.312948
161719.154923,142470.038551,171912.370877
799025.008270,728317.055113,865680.914584
254566.936342,233099.207262,279738.492625
770313.205472,731457.561968,859509.000000
562360.134063,523630.697640,637085.771885
706129.914995,643466.054536,767867.508801
787561.964940,717226.074661,866057.591634
792017.000949,788338.891620,834981.386719
804662.130002,703550.524622,826529.622606
660121.416022,593081.782704,708675.147735
508972.738754,474966.600918,568599.635139
763982.084087,747208.568926,867498.080151
793935.775061,763866.561929,881186.958157
883354.900767,818394.950322,835428.148911
533433.947042,512922.229924,584298.505177
219423.261783,202336.057921,236373.776798
813460.545666,723174.283060,893049.587381
413565.007364,392405.929359,466026.944205
153298.029845,143420.324130,173907.392071
754635.939222,697949.685408,839317.995812
803030.071410,732863.440550,882098.227274
562903.732771,541076.697023,631349.237530
755320.708855,691193.577691,812356.604217
536548.967591,504167.941364,609994.310297
790655.852811,738686.849193,876576.147189
867941.017077,810263.457318,843803.708534
795306.338980,725676.664180,850065.698042
542491.251050,543501.821922,598250.539933
568216.172476,512047.128338,613249.527618
571974.594458,541333.133564,636187.043388
799028.533593,722429.439710,863925.819748
797769.000000,738114.146939,834663.039074
805934.417159,690492.359460,817737.696994
764794.026505,691657.830527,849613.889668
567105.188505,529233.957152,628636.316646
813494.169233,717757.754599,861206.724417
-131760.825768,-130013.189423,-144780.071692
-116564.251517,-109050.557398,-122154.489149
779758.099004,739908.573365,874133.381410
572677.949252,577743.652108,567316.595782
796221.457680,739049.151276,882335.225617
-106266.668278,-98929.032644,-119240.082769
808792.670466,881056.665957,860443.129702
797166.608450,751269.452837,882819.000000
778261.460298,722156.594290,855387.363196
611877.123644,554452.672465,671750.124110
764427.908711,769194.493795,841659.414916
-121411.199835,-112358.234801,-131501.603716
646869.760082,601861.811023,694487.691997
806312.208567,746474.139058,890683.348915
750942.903194,708102.440458,869530.787600
542293.745524,448770.282553,559041.272125
860365.674717,794557.632353,860573.806125
799519.595387,752528.098156,844250.746060
759070.021739,750132.101764,867113.882166
330136.153755,303800.080121,356833.485809
801698.727690,731265.595891,880434.585402
659969.889350,609837.538030,707021.497981
782520.280384,751957.373783,893878.345833
767613.066876,720605.101403,890202.800436
790377.097591,715241.726706,870042.698316
778439.713478,714337.327776,850143.000000
789450.103287,741683.793426,892134.340735
786939.808190,724380.706434,871892.153215
788049.761457,721578.299006,867578.354471
768003.938163,732582.830179,872418.057878
606749.169049,547674.557250,675957.849345
539719.456486,499455.469985,584379.238476
183513.709659,159855.949804,196695.390872
379826.639835,444816.861575,431798.709361
753499.446978,673547.825592,805531.621911
222266.042037,208159.823004,250149.486043
798683.140924,749641.603310,883960.654966
766745.597787,738492.402213,855047.005158
805481.716549,747889.490214,890625.979827
365678.636444,335552.449412,395764.103895
789406.937911,712824.312465,869236.621855
762427.281082,725046.667164,848128.011463
747643.013824,745144.520736,836402.277776
756192.009450,689336.486070,817404.969085
378128.555643,363306.217742,450584.593791
-23044.475322,-21878.785122,-26607.997908
-569621.382321,-545211.957440,-637579.371074
-321722.933127,-301328.873539,-343284.787406
782857.293915,724712.799092,879669.000000
576691.553998,563175.720570,654415.796296
-306192.967232,-295668.050158,-344604.845956
284912.626926,260602.537562,306702.443451
798918.009079,761351.801815,882958.860613
-19544.919169,-17921.052722,-21343.650097
813931.773033,717561.723390,860815.397032
494207.188102,451609.784272,554792.089711
652502.963033,596465.090941,696920.098158
376854.598627,355947.277422,425401.109242
653296.684149,612766.573905,733005.875287
622326.525755,581519.420013,677890.559759
769593.376334,769165.167736,844196.784382
790727.977545,722914.798285,874306.420169
585565.426412,549107.029737,664028.316734
336125.959623,369051.986283,457921.449114
761823.031909,739062.158784,851583.792872
530807.330562,486108.292204,595743.675949
345267.623044,314401.311261,381380.548885
888090.831788,858747.490437,859467.000000
579733.211409,544283.321116,660204.085886
31867.570188,29717.672096,35264.248124
262929.153092,248529.466150,292133.011876
86668.811880,82753.857682,97594.116634
784066.901788,746914.630282,876350.179263
809227.402283,708117.904636,843737.731028
644069.580811,617295.213552,720338.649068
-39651.759684,-39896.653580,-42662.456247
769701.508838,729516.864084,853807.440002
255613.558429,237454.640300,288559.859432
-320417.428302,-309546.759685,-373653.140833
485948.289366,452169.143654,499263.964497
768804.495904,718979.511871,843399.026939
834473.605384,883286.266708,863549.037293
26187.094621,24080.077027,28691.816408
605319.993425,557580.486984,632855.487962
754518.224806,750650.238710,870504.313349
792322.982936,726189.058188,875176.953784
780684.618850,727442.191183,874861.297372
800092.356822,729905.474828,862158.592833
635434.283067,742401.223163,720364.550438
-267372.852780,-240247.481184,-286671.007596
643987.869876,584028.727832,687679.665104
419162.284173,405624.977795,486574.904215
97621.813492,88909.894291,107119.438677
-358261.742151,-354254.317266,-393210.575735
790000.242946,718681.990842,869464.581326
-123047.739667,-118562.798577,-142089.267750
829380.957929,796644.923348,798495.277990
777084.041235,736241.655523,873413.707014
780242.778321,770052.123871,854967.894859
563796.838631,525606.470740,631596.196049
701752.662584,660639.693200,791962.352864
428438.417673,439591.866548,529334.147659
493637.686066,454338.466789,552939.143872
-142621.693491,-136471.743734,-159000.574878
679260.568462,615647.484238,751359.229854
126061.521206,115228.563092,136738.729303
777499.081777,730414.186555,885384.356369
774261.675462,732489.427670,860396.076745
38542.759306,35705.913036,42437.622761
-406678.740149,-369476.357234,-445715.647612
785107.595572,716121.994942,881180.399369
761263.956062,719894.382223,892501.868561
760629.012166,715732.457418,850847.762699
340685.113520,315182.642863,385320.645544
588775.748290,538790.119876,664287.346336
670890.629741,639179.131343,744045.059189
771883.420580,706462.085569,869793.865773
168301.124255,153245.946909,186297.575372
774682.108003,716122.558083,853220.549920
-7565.111216,-7546.534594,-8289.312573
776073.859893,744404.168837,873798.853284
783933.972296,720081.397338,876384.815183
795869.892214,727177.893999,849117.381582
761505.781160,718000.149988,865358.456354
783789.907274,723657.751885,858789.649561
787405.048993,732903.811657,846908.699329
245590.740943,229366.146256,257239.553355
210851.146614,197778.039095,239265.838796
765902.602277,719294.048385,887875.403046
819419.865184,724642.212255,870058.219540
-145027.288133,-138878.069538,-161143.210739
-102482.730249,-94632.087153,-98375.056159
229099.926498,206716.974438,249451.443895
208502.544945,200999.704682,232661.734837
1748.755972,1602.269043,1761.577641
671220.299689,619716.309233,751518.317776
786967.773291,689264.823545,844589.124242
-520799.983176,-471331.309418,-556311.421709
522208.925996,484350.480255,572738.343830
-181401.682739,-169996.844995,-196273.607680
289878.950217,289523.399402,347586.621634
528821.965213,567802.160215,546844.490670
809376.237107,779865.750647,829966.369943
